Measure Mode: process_time_time
Thread ID: 70198652961280
Fiber ID: 70198652682660
Total: 0.031933
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09      0.000     0.000     0.000     0.000        6   ActionDispatch::Request#request_method
  0.09      0.000     0.000     0.000     0.000        5   ActionView::Helpers::TagHelper#tag_options
  0.09      0.030     0.000     0.000     0.030        1   Rack::MockSession#request
  0.09      0.000     0.000     0.000     0.000        9   String#blank?
  0.09      0.000     0.000     0.000     0.000        4   ActionView::Resolver#find_all
  0.09      0.000     0.000     0.000     0.000        9   ActiveSupport::SafeBuffer#gsub!
  0.09      0.000     0.000     0.000     0.000        3   <Class::ActiveRecord::ExplainRegistry>#collect?
  0.09      0.000     0.000     0.000     0.000       10   Array#concat
  0.09      0.000     0.000     0.000     0.000       11   String#to_str
  0.09      0.000     0.000     0.000     0.000        6   Time#minus_without_duration
  0.09      0.000     0.000     0.000     0.000        7   ActiveRecord::ConnectionAdapters::ConnectionHandler#class_to_pool
  0.09      0.000     0.000     0.000     0.000        1   ActiveRecord::Relation#build_preloader
  0.09      0.000     0.000     0.000     0.000        3   WillPaginate::PageNumber#initialize
  0.09      0.000     0.000     0.000     0.000        1   ActionView::PartialRenderer#setup
  0.09      0.000     0.000     0.000     0.000        5   #<Class:0x007fb0cf1213f8>#asset_host
  0.09      0.000     0.000     0.000     0.000        4   Enumerable#sort_by
  0.08      0.000     0.000     0.000     0.000        7   Rack::Request#path_info
  0.08      0.000     0.000     0.000     0.000       10   String#gsub!
  0.08      0.000     0.000     0.000     0.000       10   Array#initialize_copy
  0.08      0.000     0.000     0.000     0.000       10   ActionDispatch::Journey::Path::Pattern#names
  0.08      0.000     0.000     0.000     0.000        6   ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.08      0.000     0.000     0.000     0.000       13   Array#include?
  0.08      0.001     0.000     0.000     0.001        4   ActiveSupport::LogSubscriber#info
  0.08      0.000     0.000     0.000     0.000        5   Sprockets::Rails::Helper#raise_runtime_errors
  0.08      0.000     0.000     0.000     0.000        4   ActionView::Resolver::Cache#cache
  0.08      0.000     0.000     0.000     0.000       12   Array#&
  0.08      0.000     0.000     0.000     0.000        4   <Class::ActiveRecord::LogSubscriber>#reset_runtime
  0.08      0.000     0.000     0.000     0.000        5   ActiveRecord::ConnectionHandling#retrieve_connection
  0.08      0.000     0.000     0.000     0.000       13   String#include?
  0.08      0.000     0.000     0.000     0.000        3   Rack::Utils#clean_path_info
  0.08      0.000     0.000     0.000     0.000        4   ActionView::LookupContext#formats=
  0.08      0.000     0.000     0.000     0.000        9   <Class::Hash>#[]
  0.08      0.028     0.000     0.000     0.028        1   Rails::Rack::Logger#call_app
  0.08      0.000     0.000     0.000     0.000        1   Rack::Request#POST
  0.08      0.000     0.000     0.000     0.000        1   WillPaginate::Collection#replace
  0.08      0.000     0.000     0.000     0.000        3   ActionController::MimeResponds::Collector#custom
